Theme,Sub-Theme,Priority for Research,Priority identification number (PIN),Additional information supplied by the client,Thème,Sous-thème,Priorité de recherche,Numéro d'identification de la priorité (NIP),Informations complémentaires fournies par le client
Climate change & Oceans,Climate modelling,Refinement of applied ocean models to improve forecasting of ocean conditions to climate change,CC-04,"Research to refine ice-models, including downscaling models and improving the accuracy of predictions by including the relevant geophysical mechanism such as tidal mixing, river runoff, boundary conditions, etc.",Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Recherche visant à améliorer les modèles de glace, notamment par la réduction de l’échelle des modèles et l’amélioration de l’exactitude des prévisions, en incluant le mécanisme géophysique pertinent comme le mélange des marées, le ruissellement des rivières, les conditions limitrophes, etc."
Climate change & Oceans,Climate modelling,Refinement of applied ocean models to improve forecasting of ocean conditions to climate change,CC-04,"Research to understand and predict the effects of climate change on species and ecosystems and potential future scenarios (e.g. providing long-term outlooks (e.g. 2050) on expected stock outcomes under future climate and management scenarios primary producers and apex predators in selected ecosystems.)
",Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Recherche pour comprendre et prévoir les effets des changements climatiques sur les espèces et les écosystèmes, ainsi que les effets de futurs scénarios climatiques et de gestion (qui fournissent des perspectives à long terme, p. ex. jusqu’en 2050) sur les résultats attendus des stocks, les producteurs primaires et les prédateurs de sommet dans certains écosystèmes.
"
Climate change & Oceans,Climate modelling,Refinement of applied ocean models to improve forecasting of ocean conditions to climate change,CC-04,"Estimating the impact of sea ice loss in the NW Atlantic on ice-breeding marine mammals, distribution of cetaceans, and abundance of prey species (such as capelin) which rely strongly on ice-associated preys",Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Estimation de l’incidence de la perte de glace de mer dans le nord-ouest de l’Atlantique sur les mammifères marins qui se reproduisent dans la glace, la répartition des cétacés et l’abondance des espèces proies (comme le capelan) qui dépendent fortement des proies associées à la glace"
Climate change & Oceans,Climate modelling,Refinement of applied ocean models to improve forecasting of ocean conditions to climate change,CC-04,Research to improve water level projections along Canadian coasts. ,Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,Recherche visant à améliorer les projections des niveaux d’eau le long des côtes canadiennes. 
Climate change & Oceans,Climate modelling,Refinement of applied ocean models to improve forecasting of ocean conditions to climate change,CC-04,"Enhanced methods (modelling) to understand impacts of climate-driven and invasion-driven range expansion, reduction and relocation on other species and the environment",Changements climatiques et Océans,Modélisation du climat,Raffinement des modèles océaniques appliqués pour améliorer la prévision des conditions océaniques en fonction des changements climatiques,CC-04,"Amélioration des méthodes (modélisation) pour comprendre les répercussions de l’expansion, de la réduction et de la relocalisation de l’aire de répartition dictée par le climat et les invasions sur d’autres espèces et l’environnement."
Aquatic ecosystems Sci.: AIS-SARA,Nature Legacy Species at Risk ,Research and data collection projects specific to Nature Legacy freshwater priority places (2021-22) to address: knowledge gaps to advance recovery and protection; threats and mitigation; analytical or decision support tools; life history information; and/or habitat utilization.,AEa-08,"Nature Legacy freshwater priority places (2021-22) include: 
1. Fraser and Columbia Watersheds Priority Area (British Columbia)
2. Rocky Mountains’ Eastern Slopes Priority Area (Alberta)
3. Southern Prairies Priority Area (Alberta, Saskatchewan, Manitoba)
4. Lower Great Lakes Watershed Priority Area (Ontario)
5. St. Lawrence Lowlands Priority Area (Quebec)
6. Southern Gulf of St. Lawrence Rivers Priority Area (New Brunswick, Nova Scotia, Prince Edward Island)
7. Bay of Fundy and Southern Uplands Watersheds Priority Area (Nova Scotia, New Brunswick)
",Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,Projets de recherche et de collecte de données propres aux milieux prioritaires d’eau douce (Patrimoine naturel 2021-22) visant à répondre aux éléments suivants : les lacunes en matière de connaissances en vue de faire progresser le rétablissement et la protection; les menaces et leur atténuation; les outils d’analyse ou de soutien décisionnel; les renseignements sur le cycle vital; et l’utilisation de l’habitat.,AEa-08,"Patrimoine naturel - Lieux prioritaires (2021-22): 
1. Zones prioritaire des bassins versant des fleuves Fraser et Colombia (Colombie-Britannique)
2. Zone prioritaire du versant est des montagnes Rocheuses (Alberta)
3. Zone prioritaire du Sud des Prairies (Alberta, Saskatchewan, Manitoba)
4. Zone prioritaire du bassin versant inférieur des Grands Lacs (Ontario)
5. Zone prioritaire des basses-terres du Saint-Laurent (Québec)
6. Zone prioritaire des rivières du sud du golfe du Saint-Laurent (Nouveau-Brunswick, Nouvelle-Écosse, ’Île-du-Prince-Édouard)
7. Zone prioritaire des bassins versants de la baie de Fundy et des hautes terres du Sud (Nouvelle-Écosse, Nouveau-Brunswick)
"
Aquatic ecosystems Sci.: AIS-SARA,Nature Legacy Species at Risk ,"Research and data collection projects specific to Nature Legacy priority marine threats (2021-22) to address: how to mitigate these threats for species at risk, and the consequences of these threats on species recovery and survival, including the development of analytical and decision support tools. ",AEa-07,"Nature Legacy priority marine threats (2021-22) include: impacts of fishing interactions (e.g. entanglement and bycatch); and, physical and acoustic disturbances (e.g. vessel collisions and marine noise) ",Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,"Projets de recherche et de collecte de données propres aux menaces maritimes prioritaires (Patrimoine naturel 2021-22), comment atténuer ces menaces pour les espèces en péril et les conséquences de ces menaces sur le rétablissement et la survie des espèces, y compris l’élaboration d’outils d’analyse et de soutien décisionnel.                                     ",AEa-07,"Patrimoine naturel - les menaces prioritaires (2021-22) comprennent : les répercussions des interactions avec la pêche (p. ex. empêtrement et prises accessoires); et, les perturbations physiques et acoustiques (p. ex. collisions avec des navires et bruit marin). "
Aquatic ecosystems Sci.: AIS-SARA,Nature Legacy Species at Risk ,"Research to inform the design, delivery, and assessment of the performance (e.g. indicators and monitoring protocols) of a prioritized approach to recovery of species at risk within Nature Legacy freshwater priority places and focusing on Nature Legacy marine priority threats",AEa-06,"Nature Legacy priority marine threats (2021-22) include: impacts of fishing interactions (e.g. entanglement and bycatch); and, physical and acoustic disturbances (e.g. vessel collisions and marine noise) 

Nature Legacy freshwater priority places (2021-22) include: 
1. Fraser and Columbia Watersheds Priority Area (British Columbia)
2. Rocky Mountains’ Eastern Slopes Priority Area (Alberta)
3. Southern Prairies Priority Area (Alberta, Saskatchewan, Manitoba)
4. Lower Great Lakes Watershed Priority Area (Ontario)
5. St. Lawrence Lowlands Priority Area (Quebec)
6. Southern Gulf of St. Lawrence Rivers Priority Area (New Brunswick, Nova Scotia, Prince Edward Island)
7. Bay of Fundy and Southern Uplands Watersheds Priority Area (Nova Scotia, New Brunswick)",Science des écosystèmes aquatiques: EAE-LEP,Patrimoine naturel espèces en péril,"Recherche pour éclairer la conception, la prestation et l'évaluation de la performance (p. Ex., Indicateurs et protocoles de surveillance) d'une approche prioritaire pour le rétablissement des espèces en péril dans les endroits prioritaires (Patrimoine naturel) et se concentrant sur les menaces prioritaires (Patrimoine naturel) ",AEa-06,"Patrimoine naturel - les menaces prioritaires (2021-22) comprennent : les répercussions des interactions avec la pêche (p. ex. empêtrement et prises accessoires); et, les perturbations physiques et acoustiques (p. ex. collisions avec des navires et bruit marin). 

Patrimoine naturel - Lieux prioritaires (2021-22): 
1. Zones prioritaire des bassins versant des fleuves Fraser et Colombia (Colombie-Britannique)
2. Zone prioritaire du versant est des montagnes Rocheuses (Alberta)
3. Zone prioritaire du Sud des Prairies (Alberta, Saskatchewan, Manitoba)
4. Zone prioritaire du bassin versant inférieur des Grands Lacs (Ontario)
5. Zone prioritaire des basses-terres du Saint-Laurent (Québec)
6. Zone prioritaire des rivières du sud du golfe du Saint-Laurent (Nouveau-Brunswick, Nouvelle-Écosse, ’Île-du-Prince-Édouard)
7. Zone prioritaire des bassins versants de la baie de Fundy et des hautes terres du Sud (Nouvelle-Écosse, Nouveau-Brunswick)"
Aquatic ecosystems Sci.: AIS-SARA,Aquatic Invasive Species,Response actions following reception of a credible report of introduction or spread of aquatic invasive or non-indigenous species,AEa-04,"Effectiveness of response methods:
Research to help weigh the impact of deleterious substances on the ecosystem vs the risk of invasion/establishment (case by case) ; Piper Lake – Smallmouth Bass (Potential case study)",Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Mesures d’intervention suivant la réception d’un rapport crédible d’introduction ou de propagation d’espèces aquatiques envahissantes ou non indigènes,AEa-04,"Efficacité des méthodes d’intervention :
Recherche visant à évaluer l’incidence des substances nocives sur l’écosystème par rapport au risque d’introduction ou d’établissement d’EAE (cas par cas); lac Piper – achigan à petite bouche (étude de cas potentielle);"
Aquatic ecosystems Sci.: AIS-SARA,Aquatic Invasive Species,Response actions following reception of a credible report of introduction or spread of aquatic invasive or non-indigenous species,AEa-04,"Population thresholds for response and control for marine and freshwater AIS: 
a. Vase tunicates, Green Crab, Tench 
b. Determine AIS population thresholds for minimizing impacts to habitat supporting anadromous fish, shellfish, SARA species
c. Emerging species (e.g. Diplosoma Tunicate)",Science des écosystèmes aquatiques: EAE-LEP,Espèces aquatiques envahissantes,Mesures d’intervention suivant la réception d’un rapport crédible d’introduction ou de propagation d’espèces aquatiques envahissantes ou non indigènes,AEa-04,"Seuils de population pour l’intervention et le contrôle des EAE marines et d’eau douce : 
a. ascidie jaune, crabe vert, tanche;
b. détermination des seuils de population des EAE en vue de minimiser les répercussions sur les milieux abritant des poissons anadromes, des mollusques et des espèces protégées en vertu de la LEP;
c. espèces émergentes (p. ex. le Diplosoma).
"
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Shellfish: Research to support  risk-based shellfish environmental monitoring ,AQ-18,"a. Research to develop a robust, comprehensive modelling tool to inform shellfish aquaculture siting decisions and recommendations to minimize impacts on fish and fish habitat. 
b. Research to fill in knowledge gaps identified through the pathways of effects framework that would improve our understanding of the impacts of shellfish aquaculture
c. Research to support the use of indicators for the monitoring of benthic and pelagic effects of shellfish aquaculture.  How can shellfish aquaculture activities be integrated into the cumulative effects framework?  

",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Mollusques : Recherche à l’appui de la surveillance environnementale des mollusques fondée sur les risques,AQ-18,"a. Recherche visant à élaborer un outil de modélisation solide et complet pour éclairer les décisions et les recommandations relatives à l’emplacement de la conchyliculture afin de réduire au minimum les impacts sur le poisson et son habitat. 
b. Recherche visant à combler les lacunes en matière de connaissances cernées dans le cadre des séquences des effets liés à l’aquaculture pour mieux comprendre les effets de la conchyliculture.
c. Recherche pour appuyer l’utilisation d’indicateurs pour la surveillance des effets benthiques et pélagiques de la conchyliculture. Comment peut-on intégrer les activités de conchyliculture dans le cadre des séquences des effets liées à l’aquaculture? 

"
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Short term impacts - Drugs and Pesticides: post-deposit monitoring and modeling of impacts,AQ-19,"a) Design of the models to be used for predicting dispersion of drugs and pesticides 
b) Validation of the selected models in different environments within the Canadian context
c) Design of sampling schemes and processes for mixed-substrate and hard-substrate environments 
d) Validation of the environmental thresholds for drugs and pesticides  (are they over or under-protecting the marine ecosystems?)
e) Persistence patterns of in-feed drugs in different benthic environments (different substrates, level of enrichment, etc.)
f) Cumulative impacts of drugs (anti-parasitic, antibiotics) and pesticides: synergistic and antagonistic potential impacts (long term priority)",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Médicaments et pesticides : surveillance et modélisation des répercussions après le dépôt,AQ-19,"a) Conception des modèles à utiliser pour prédire la dispersion de médicaments et de pesticides; 
b) Validation des modèles sélectionnés dans différents environnements au Canada; 
c) Conception de schémas et de procédés d’échantillonnage pour les environnements présentant un substrat mixte et un substrat dur; 
d) Validation des seuils environnementaux associés aux médicaments et aux pesticides (protègent-ils trop ou pas assez les écosystèmes marins?);
e) Tendances liées à la persistance des médicaments intégrés à la nourriture dans différents environnements benthiques (différents substrats, différent niveau d’enrichissement, etc.);
f) Effets cumulatifs des médicaments (antiparasitaires, antibiotiques) et des pesticides : impacts synergiques et antagonistes potentiels (priorité à long terme)."
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Short term impacts - Ecological carrying capacity modelling,AQ-20,"a) Build on existing ecological carrying capacity model developed in Gulf Region to make it more broadly applicable.  i.e. Consult with provincial aquaculture programs to identify high priority areas with the aim to collect baseline data on primary production, hydrographic information etc.  
b) Investigate if the orientation, size, shape and general layout of farms impact the ecological carrying capacity.

An existing CSAS will identify information gaps so resources must be available to support the CSAS project and fill those gaps of the following topic: 
c) Identification of low impact activities and associated husbandry practices via the investigation of tolerance ranges of impacts on fish and fish habitat from shellfish aquaculture.  ",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Modélisation de la capacité de charge écologique,AQ-20,"a) S’appuyer sur le modèle existant de capacité de charge écologique élaboré dans la région du Golfe pour le rendre plus largement applicable, notamment en consultant les programmes provinciaux d’aquaculture pour dégager les grandes priorités en vue de recueillir des données de base sur la production primaire, des renseignements hydrographiques, etc. 
b) Vérifier si l’orientation, la taille, la forme et l’aménagement général des piscicultures ont un impact sur la capacité de charge écologique.

Un SCCS existant identifiera les lacunes d'information afin que les ressources soient disponibles pour soutenir le projet SCCS et combler les lacunes du sujet suivant:
c) Détermination des activités à faible impact et des pratiques d’élevage connexes au moyen de l’étude des intervalles de tolérance liés aux impacts de la conchyliculture sur les poissons et l’habitat du poisson. "
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Short term impacts - Improving the monitoring required by the Aquaculture Activities Regulations,AQ-21,"a) How do the visual indicators used in hard bottom assessment relate to changes in biodiversity (i.e. linkages to ecosystem change similarly to the sulfide nomogram approach)? (NL) 
b) How does the 70% of sampling stations scope-of-impact metric relate to overall biodiversity at the aquaculture site? (NL) ",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Amélioration de la surveillance exigée par le Règlement sur les activités d’aquaculture ,AQ-21,"a) Comment les indicateurs visuels utilisés dans l’évaluation du fond dur se rapportent-ils aux changements dans la biodiversité?
(c.?à?d. liens avec les changements écosystémiques, selon une approche semblable à celle adoptée pour le nomogramme du sulfure) (Terre-Neuve-et-Labrador) 
b) Comment la mesure de portée de l’impact correspondant à 70 % des stations d’échantillonnage se rapporte-t-elle à la biodiversité globale du site d’aquaculture? (Terre-Neuve-et-Labrador) "
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Short term impacts - Improving the monitoring required by the Aquaculture Activities Regulations,AQ-21,"Need for a scientific impact assessment, to identify whether annual reporting is required for small-scale land based facilities under the AAR.  This would reflect the environmental risk and magnitude of harmfully altering, disrupting or destroying fish or fish habitat. 
",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Amélioration de la surveillance exigée par le Règlement sur les activités d’aquaculture,AQ-21,"Nécessité d’une évaluation scientifique des impacts pour déterminer si des rapports annuels sont requis pour les installations terrestres de petite taille dans le cadre du RAA. Cela refléterait le risque environnemental et l’ampleur de la modification, de la perturbation ou de la destruction du poisson ou de son habitat. 
"
Aquaculture science,Short/long-term impacts of aquaculture on fish and fish habitat,Short term impacts - Measuring and understanding freshwater aquaculture impacts. ,AQ-22,"a) Determine if porewater ammonia has good potential to replace sulfide as an indicator of prolonged anoxia and associated consequences to benthic community in freshwater 
b) Confirmation of the linkage between localized benthic impacts [including the type of substrate/sediment conditions], and BOD demand in freshwater aquaculture
c) Determine the importance of benthic organism density, food web structure and environmental conditions  on rate of breakdown of farm waste and nutrient release (to inform setting a required minimum density) in lakes;
d) Are geochemical / biological indicators and impact thresholds that have been identified at one site in Lake Huron applicable to other sites and other lakes?  
e) Confirmation of presence and identity of benthic taxa on cage structures to clarify effects and thresholds for diversity loss as a result of BOD-demanding deposit and appropriate data handling for monitoring in freshwater aquaculture.",Science de l'aquaculture,Impact à court/long terme de l'aquaculture sur le poisson et son habitat,Impacts à court terme – Mesurer et comprendre les répercussions de l’aquaculture en eau douce ,AQ-22,"a) Déterminer si l’ammoniac interstitiel présente un bon potentiel de remplacement du sulfure comme indicateur d’anoxie prolongée et des conséquences connexes sur la communauté benthique en eau douce. 
b) Confirmation des liens entre les impacts localisés sur les espèces benthiques (y compris le type de substrat et l’état des sédiments), et de la demande biologique en oxygène (DBO) dans l’aquaculture en eau douce. 
c) Déterminer l’importance de la densité des organismes benthiques, de la structure du réseau alimentaire et des conditions environnementales sur le taux de fragmentation des déchets piscicoles et la libération d’éléments nutritifs (pour orienter l’établissement d’une densité minimale requise) dans les lacs.
d) Les indicateurs géochimiques et biologiques et les seuils d’impact qui ont été déterminés dans un site au lac Huron s’appliquent-ils à d’autres sites et à d’autres lacs? 
e) Confirmation de la présence et de l’identité des taxons benthiques sur les structures des cages afin de clarifier les effets et les seuils de perte de diversité qui découlent du dépôt générant une DBO, et manipulation appropriée des données pour la surveillance de l’aquaculture en eau douce."
Aquaculture science,Aquaculture interactions with fisheries and other human activities,Site and site management,AQ-12,"How does the presence of mussel or finfish aquaculture sites impact the distribution and catchability of commercial fisheries (e.g., lobster, rock crab, pelagic and groundfish species)? (Objective: To minimize and avoid impacts on the catchability of fisheries) ",Science de l'aquaculture,Interactions de l'aquaculture avec les pêcheries et autres activités humaines,Site et gestion du site,AQ-12,"Comment la présence de sites d’aquaculture de moules ou de poissons à nageoires influe-t-elle sur la répartition et la capturabilité des pêches commerciales (p. ex. homards, crabes communs, espèces pélagiques et poissons de fond)? (Objectif : réduire au minimum et éviter les impacts sur la capacité de pêche)."
Climate change & Oceans,Climate change effects on ocean chemistry,State and extent of changing aquatic chemistry including acidification and hypoxia,CC-01,Research activities to address gaps in knowledge of the current state and extent of ocean acidification and hypoxia,Changements climatiques et Océans,Effets du changement climatique sur la chimie des océans,"État et étendue des changements touchant la chimie aquatique, y compris l’acidification et l’hypoxie",CC-01,Activités de recherche visant à combler les lacunes dans les connaissances sur l’état actuel et l’étendue de l’acidification et de l’hypoxie des océans.
Climate change & Oceans,Climate change effects on ocean chemistry,State and extent of changing aquatic chemistry including acidification and hypoxia,CC-01,"Research to understand the interaction of ocean acidification and hypoxia with other climate stressors and changing aquatic conditions (e.g., temperature, ocean circulation, freshwater inputs, etc.).",Changements climatiques et Océans,Effets du changement climatique sur la chimie des océans,"État et étendue des changements touchant la chimie aquatique, y compris l’acidification et l’hypoxie",CC-01,"Recherche visant à comprendre l’interaction de l’acidification et de l’hypoxie des océans avec d’autres facteurs de stress climatiques et les conditions aquatiques changeantes (p. ex. température, circulation océanique, apports en eau douce)."
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Support of risk assessment methodology development and the design and implementation of regulations for novel aquatic organisms,BG-07,Evaluating ecosystem impacts and fitness of transgenic aquatic animals using ecosystem modeling and/or mesocosms,Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Soutien à l’élaboration de méthodes d’évaluation des risques ainsi qu’à la conception et à la mise en œuvre de règlements pour les organismes aquatiques à caractères nouveaux.,BG-07,Évaluation des répercussions sur les écosystèmes et de la valeur adaptative des animaux aquatiques transgéniques à l’aide de la modélisation des écosystèmes et des mésocosmes.
Biotech & Genomics,Novel products of biotechnology to support risk assessment,Support of risk assessment methodology development and the design and implementation of regulations for novel aquatic organisms,BG-07,"Evaluating specific phenotypes of various strains of novel and domesticated (as surrogates for novel fish) aquatic animals in order to better determine key parameters that influence environmental risk. Ongoing, with emphasis on environmental influences assessed by genomics methods.",Biotech & Génomique,Produits biotechnologiques nouveaux en soutien à l'évaluation des risques,Soutien à l’élaboration de méthodes d’évaluation des risques ainsi qu’à la conception et à la mise en œuvre de règlements pour les organismes aquatiques à caractères nouveaux.,BG-07,"Évaluer les phénotypes particuliers de diverses souches d’animaux aquatiques à caractères nouveaux et domestiqués (comme substituts de poissons à caractères nouveaux) afin de mieux déterminer les principaux paramètres qui influent sur le risque environnemental. En cours, avec un accent sur les influences environnementales évaluées par les méthodes génomiques."
Fisheries science,Ecosystem approach in fisheries management,Survey and monitoring activities,FS-07,"Ecosystem approach to fisheries management and associated science needs. 
Research to develop the development of management measures ultimately to minimize bycatch generally and the bycatch of species like White hake and Atlantic Halibut specifically.  To this end, and considering the data available from the index and experimental fisheries over the past few years, what advice can Science provide with regard to gear type and possible closures (depth, area, seasonal) that consider the biological needs of bycatch species throughout the Unit 1 range? What do the index and experimental fishery results tell us on how Canadians should be fishing the redfish stock in Unit 1, to limit incidental catch and the development of  'choke' species that will limit fishing opportunity. 
",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Activités de relevé et de surveillance,FS-07,"Approche écosystémique de la gestion des pêches et besoins scientifiques connexes. 
Recherche pour l’élaboration de mesures de gestion visant à réduire au minimum les prises accessoires en général et les prises accessoires d’espèces comme la merluche blanche et le flétan de l’Atlantique en particulier. À cette fin, et compte tenu des données obtenues à partir des pêches repères et expérimentales au cours des dernières années, quels avis le Secteur des sciences peut-il fournir en ce qui concerne le type d’engins et les fermetures possibles (profondeur, superficie, saison), en tenant compte des besoins biologiques des espèces accessoires dans toute l’unité 1? Que nous apprennent les résultats des pêches repères et expérimentales sur la façon dont les Canadiens devraient pêcher le stock de sébaste dans l’unité 1 de façon à limiter les prises accessoires et le développement d’espèces gênantes qui limiteront les possibilités de pêche?"
Fisheries science,Ecosystem approach in fisheries management,Survey and monitoring activities,FS-07,#NAME?,Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Activités de relevé et de surveillance,FS-07,"Évaluation des stocks et soutien scientifique à l'élaboration de recommandations sur les mesures de gestions pour les pêches commerciale, récréative, ASR et la chasse de subsistance
- Documenter ou améliorer les connaissances sur la biologie des espèces afin d'appuyer la gestion de la ressource dans la mise à jour de mesures de gestion, l'élaboration  de méthodes normalisées  
- Développement ou amélioration d'indicateurs d'abondance de la biomasse exploitable.
"
Fisheries science,Ecosystem approach in fisheries management,Survey and monitoring activities,FS-07,"Stock assessment and scientific support for the development of recommendations on management measures for commercial, recreational and FSC fisheries and subsistence harvesting
- Integration of FN traditional knowledge into research surveys, particularly for northern species:  beluga, walrus, narwhal and northern seals",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Activités de relevé et de surveillance,FS-07,"Évaluation des stocks et soutien scientifique à l'élaboration de recommandations sur les mesures de gestions pour les pêches commerciale, récréative, ASR et la chasse de subsistance
- Intégration dans les relevés de recherche des connaissances traditionnelles des PN  notamment pour les espèces du Nord:  béluga, morse, narval et phoques du nord"
Fisheries science,Ecosystem approach in fisheries management,Survey and monitoring activities,FS-07,"FFHP - Monitoring: Small scale fisheries development:
New methods for scientifically valid community based monitoring and stock assessment information gathering for stock health and sustainability of small scale developing fisheries  in the Arctic, and a small effort to solidify the human resources needed to support that in the short, medium and long term, in terms of data evaluation, stock assessment and communication of these results both to fishery management and to co-managers- char, whitefish, lake trout. ",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Activités de relevé et de surveillance,FS-07,"PPH – Surveillance : développement des pêches à petite échelle.
De nouvelles méthodes de collecte de données sur la surveillance et l’évaluation communautaires des stocks valides sur le plan scientifique pour la santé des stocks et la durabilité des pêches à petite échelle en développement dans l’Arctique et un petit effort pour consolider les ressources humaines nécessaires pour appuyer cet objectif à court, moyen et long terme, en ce qui concerne l’évaluation des données, l’évaluation des stocks et la communication de ces résultats à la gestion des pêches et aux cogestionnaires – omble, grand corégone et truite grise. "
Fisheries science,Ecosystem approach in fisheries management,Survey and monitoring activities,FS-07,"Spatial (area-based) innovation and research, for example: monitoring of changing ocean conditions,  space-based stock assessment methods (small-scale assessments) and regional assessments",Sciences halieutiques,Approche écosystémique dans la gestion des pêches,Activités de relevé et de surveillance,FS-07,"Innovation et recherche spatiales (par zone), par exemple : surveillance de l’évolution des conditions océaniques, méthodes d’évaluation des stocks fondées sur l’espace (évaluations à petite échelle) et évaluations régionales.
"
Fisheries science,Stock assessment science,Survey and monitoring activities,FS-12,"Productivity (Major Stocks)
Developing or expanding surveys or survey methodologies/technologies to support stock assessment work for major and secondary stocks (e.g., expansion of elver recruitment monitoring, resolving acoustic uncertainty for herring, Didson for Atlantic salmon etc) 
(e.g., expansion of elver recruitment monitoring, resolving acoustic uncertainty for herring), as well as those species assessed as at-risk by COSEWIC.   ",Sciences halieutiques,Science de l'évaluation des stocks,Activités de relevé et de surveillance,FS-12,"Productivité (principaux stocks)
Élaborer ou élargir les relevés ou les méthodes ou technologies de relevé pour appuyer les travaux d’évaluation des stocks principaux et secondaires (élargissement de la surveillance du recrutement de la civelle, résolution de l’incertitude acoustique pour le hareng, Didson pour le saumon atlantique, etc.), ainsi que des stocks d’espèces évaluées comme étant à risque par le COSEPAC.  
"
Aquatic ecosystems Sci.: AIS-SARA,SARA implementation: Threats and impacts (including multiple stressors),Threats and impacts to aquatic species at risk,AEa-17,"Cumulative effects modelling and framework application:
a. Application of previous frameworks aiming to address cumulative impacts or multiple stressors on aquatic species at risk
b. Development of cumulative effects models/frameworks",Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Modélisation des effets cumulatifs et application du cadre :
a. application de cadres antérieurs visant à atténuer les effets cumulatifs ou les facteurs de stress multiples sur les espèces aquatiques en péril;
b. élaboration de modèles/cadres sur les effets cumulatifs."
Aquatic ecosystems Sci.: AIS-SARA,SARA implementation: Threats and impacts (including multiple stressors),Threats and impacts to aquatic species at risk,AEa-17,"Determine a threshold for what constitutes a disturbance for marine mammals:
- Determine if there is a possibility of disturbance regarding the full scope of activities that would require a s.38 authorization, or if there is a threshold that could be set to determine what constitutes a disturbance to marine mammals.",Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Déterminer le seuil de ce qui représente une perturbation pour les mammifères marins.
Déterminer s’il existe une possibilité de perturbation concernant la portée complète des activités nécessaires une autorisation en vertu de l’article 38, ou si un seuil pourrait être établi afin de déterminer ce qui représente une perturbation pour les mammifères marins.
"
Aquatic ecosystems Sci.: AIS-SARA,SARA implementation: Threats and impacts (including multiple stressors),Threats and impacts to aquatic species at risk,AEa-17,"Research on threats to SARA-listed marine mammals and how to mitigate them: 
- Provide information to support the implementation of prevention or mitigation measures to address the primary threats to SAR marine mammals including entanglement, noise, and vessel strikes. 
- Research to understand and predict habitat use (food sources).",Science des écosystèmes aquatiques: EAE-LEP,LEP mise en œuvre: Menaces et impacts (incluant les effets de multiples agents de stress),Menaces et répercussions sur les espèces aquatiques en péril,AEa-17,"Recherche concernant les menaces pesant sur les mammifères marins inscrits à la LEP et la façon de les atténuer. 
- Fournir des informations pour soutenir la mise en œuvre de mesures de prévention ou d’atténuation pour faire face aux principales menaces pesant sur les mammifères marins inscrits à la LEP, notamment l'enchevêtrement, le bruit et les collisions avec les navires. La recherche visant à comprendre et à prévoir l'utilisation de l'habitat (les sources de nourriture).
"
